fips,naics,employees,firms,wages
13000,111110,0,6,0
13000,111130,0,1,0
13000,111140,0,4,0
13000,111211,0,2,0
13000,111219,0,151,0
13000,111333,0,5,0
13000,111336,0,1,0
13000,111411,0,2,0
13000,111419,0,12,0
13000,111930,0,3,0
13000,111940,0,16,0
13000,112111,0,81,0
13000,112112,0,3,0
13000,112210,0,13,0
13000,112410,0,1,0
13000,112420,0,1,0
13000,112511,0,8,0
13000,112519,0,1,0
13000,114111,0,2,0
13000,114119,0,1,0
13000,212391,0,1,0
13000,212399,0,5,0
13000,221112,0,27,0
13000,221113,0,4,0
13000,221116,0,1,0
13000,221117,0,4,0
13000,221118,0,2,0
13000,221121,0,6,0
13000,221122,0,306,0
13000,311225,0,6,0
13000,311230,0,6,0
13000,311314,0,3,0
13000,311351,0,10,0
13000,311411,0,2,0
13000,311412,0,9,0
13000,311512,0,1,0
13000,311513,0,7,0
13000,311920,0,12,0
13000,311930,0,12,0
13000,311941,0,7,0
13000,311942,0,12,0
13000,312140,0,10,0
13000,312230,0,5,0
13000,313220,0,6,0
13000,313240,0,2,0
13000,315110,0,2,0
13000,315990,0,11,0
13000,316110,0,4,0
13000,316210,0,5,0
13000,321213,0,3,0
13000,321219,0,10,0
13000,324110,0,3,0
13000,324199,0,2,0
13000,325110,0,2,0
13000,325120,0,14,0
13000,325193,0,4,0
13000,325194,0,4,0
13000,325413,0,10,0
13000,325414,0,3,0
13000,325910,0,20,0
13000,325920,0,1,0
13000,326130,0,4,0
13000,326150,0,23,0
13000,327211,0,6,0
13000,327212,0,10,0
13000,327310,0,33,0
13000,327332,0,9,0
13000,327910,0,3,0
13000,327992,0,6,0
13000,331221,0,6,0
13000,331222,0,5,0
13000,331313,0,2,0
13000,331314,0,2,0
13000,331315,0,1,0
13000,331410,0,1,0
13000,331491,0,7,0
13000,331523,0,4,0
13000,331529,0,1,0
13000,332111,0,6,0
13000,332112,0,2,0
13000,332431,0,4,0
13000,332439,0,7,0
13000,332911,0,10,0
13000,332912,0,3,0
13000,332913,0,3,0
13000,332919,0,7,0
13000,333111,0,51,0
13000,333112,0,8,0
13000,333120,0,32,0
13000,333131,0,6,0
13000,333242,0,2,0
13000,333244,0,15,0
13000,333921,0,2,0
13000,333923,0,4,0
13000,333991,0,2,0
13000,333996,0,5,0
13000,334111,0,24,0
13000,334112,0,9,0
13000,334310,0,16,0
13000,334412,0,6,0
13000,334417,0,2,0
13000,334613,0,5,0
13000,335121,0,5,0
13000,335129,0,1,0
13000,335911,0,18,0
13000,335912,0,3,0
13000,335921,0,4,0
13000,335929,0,5,0
13000,335931,0,11,0
13000,335932,0,2,0
13000,336112,0,3,0
13000,336120,0,2,0
13000,336414,0,1,0
13000,336415,0,5,0
13000,336510,0,6,0
13000,336611,0,4,0
13000,336991,0,11,0
13000,336992,0,2,0
13000,337124,0,17,0
13000,337125,0,3,0
13000,339993,0,4,0
13000,339995,0,4,0
13000,452910,0,246,0
13000,452990,0,1825,0
13000,482111,0,1,0
13000,482112,0,1,0
13000,483112,0,5,0
13000,483211,0,5,0
13000,483212,0,1,0
13000,485111,0,4,0
13000,485112,0,2,0
13000,485119,0,3,0
13000,485210,0,12,0
13000,485510,0,35,0
13000,486110,0,8,0
13000,486210,0,16,0
13000,486910,0,25,0
13000,486990,0,1,0
13000,512131,0,129,0
13000,512132,0,5,0
13000,512220,0,19,0
13000,512230,0,17,0
13000,521110,0,9,0
13000,522294,0,7,0
13000,523140,0,18,0
13000,523210,0,1,0
13000,525120,0,3,0
13000,525190,0,9,0
13000,525910,0,4,0
13000,562211,0,27,0
13000,562213,0,3,0
13000,711120,0,8,0
13000,711190,0,13,0
13000,713210,0,2,0
13000,721120,0,6,0
13000,721191,0,64,0
13000,921120,0,6,0
13000,922160,0,2,0
13000,713290,6,24,77728
13000,522293,1,7,101634
13000,316992,4,4,121418
13000,114112,9,7,214890
13000,238121,10,5,323888
13000,111199,15,4,538849
13000,423520,4,3,547276
13000,333913,8,3,565169
13000,335210,6,6,568761
13000,335110,19,4,603480
13000,812922,23,9,621579
