fips,naics,employees,firms,wages
13000,111211,0,2,0
13000,111219,0,137,0
13000,111333,0,5,0
13000,111336,0,2,0
13000,111930,0,1,0
13000,111940,0,17,0
13000,112410,0,1,0
13000,112420,0,2,0
13000,112519,0,1,0
13000,114111,0,1,0
13000,114119,0,1,0
13000,212391,0,1,0
13000,212399,0,4,0
13000,213112,0,15,0
13000,213114,0,1,0
13000,221112,0,26,0
13000,221113,0,5,0
13000,221117,0,2,0
13000,221121,0,6,0
13000,221122,0,261,0
13000,311225,0,7,0
13000,311230,0,6,0
13000,311314,0,2,0
13000,311351,0,10,0
13000,311411,0,2,0
13000,311412,0,10,0
13000,311421,0,26,0
13000,311423,0,1,0
13000,311511,0,6,0
13000,311512,0,1,0
13000,311513,0,10,0
13000,311920,0,13,0
13000,311930,0,12,0
13000,311941,0,7,0
13000,311942,0,15,0
13000,312140,0,9,0
13000,312230,0,2,0
13000,313220,0,6,0
13000,313240,0,2,0
13000,315110,0,1,0
13000,315990,0,8,0
13000,316110,0,2,0
13000,316992,0,6,0
13000,321212,0,4,0
13000,321213,0,3,0
13000,324191,0,10,0
13000,324199,0,1,0
13000,325110,0,1,0
13000,325120,0,14,0
13000,325413,0,7,0
13000,325414,0,7,0
13000,325910,0,19,0
13000,325920,0,1,0
13000,325991,0,16,0
13000,325992,0,10,0
13000,326130,0,4,0
13000,326150,0,21,0
13000,327211,0,6,0
13000,327212,0,6,0
13000,327310,0,33,0
13000,327332,0,9,0
13000,327910,0,4,0
13000,327992,0,5,0
13000,331221,0,3,0
13000,331222,0,5,0
13000,331313,0,2,0
13000,331314,0,3,0
13000,331410,0,1,0
13000,331420,0,14,0
13000,331511,0,10,0
13000,331513,0,3,0
13000,331523,0,3,0
13000,331529,0,1,0
13000,332431,0,5,0
13000,332439,0,8,0
13000,332613,0,4,0
13000,332618,0,16,0
13000,332912,0,2,0
13000,332913,0,4,0
13000,333111,0,48,0
13000,333112,0,7,0
13000,333120,0,30,0
13000,333131,0,4,0
13000,333242,0,3,0
13000,333244,0,13,0
13000,333921,0,3,0
13000,333923,0,7,0
13000,333991,0,2,0
13000,333996,0,3,0
13000,334111,0,23,0
13000,334112,0,8,0
13000,334310,0,13,0
13000,334412,0,4,0
13000,334417,0,2,0
13000,334614,0,12,0
13000,335121,0,5,0
13000,335129,0,2,0
13000,335911,0,18,0
13000,335912,0,4,0
13000,335921,0,6,0
13000,335929,0,6,0
13000,335931,0,11,0
13000,335932,0,2,0
13000,336112,0,2,0
13000,336120,0,1,0
13000,336414,0,1,0
13000,336415,0,5,0
13000,336510,0,5,0
13000,336611,0,6,0
13000,336991,0,10,0
13000,336992,0,2,0
13000,339993,0,3,0
13000,339995,0,4,0
13000,452311,0,244,0
13000,452319,0,1863,0
13000,481111,0,39,0
13000,481112,0,21,0
13000,482111,0,3,0
13000,482112,0,2,0
13000,483112,0,4,0
13000,483211,0,3,0
13000,483212,0,1,0
