,relevant_naics,estab,emp,payann,fips
164874,1133,15,128,4748,23029
164875,5312,4,5,83,23029
164876,5411,7,21,683,23029
164877,5412,4,23,469,23029
164878,5413,5,13,764,23029
164879,5415,3,3,108,23029
164880,5419,5,28,759,23029
164881,4451,60,1898,43804,23019
164882,4482,11,96,1592,23019
164883,4483,8,73,1899,23019
164884,4511,33,345,6611,23019
164885,4541,16,222,5683,23019
164886,4543,56,391,13974,23019
164887,4931,7,64,2172,23019
164888,5111,8,263,12509,23019
164889,5121,6,53,866,23019
164890,5151,9,209,8952,23019
164891,5241,13,41,3204,23019
164892,5242,54,359,20883,23019
164893,5323,4,6,360,23019
164894,5324,9,62,3307,23019
164895,5411,66,463,24696,23019
164896,5417,6,24,1515,23019
164897,5418,11,46,1553,23019
164898,5419,24,196,7661,23019
164899,5619,16,295,10078,23019
164900,6213,94,545,26549,23019
164901,2381,6,23,1529,23021
164902,2382,14,30,1156,23021
164903,2383,5,4,85,23021
164904,2389,11,27,1662,23021
164905,4841,3,11,445,23021
164906,4842,13,32,1282,23021
164907,5173,3,0,0,23021
164908,5221,11,55,1808,23021
164909,7139,7,56,534,23021
164910,7211,11,44,1329,23021
164911,7212,6,9,241,23021
164912,3399,4,42,1452,23021
164913,3211,5,155,7195,23021
164914,6233,21,473,10743,23019
164915,7121,7,26,713,23019
164916,7139,44,458,6649,23019
164917,8111,109,512,18825,23019
164918,8131,87,365,7063,23019
164919,8132,12,94,6003,23019
164920,8133,17,75,2395,23019
164921,4452,3,27,362,23019
164922,4453,3,12,186,23019
164923,4461,48,537,18995,23019
164924,4512,6,51,656,23019
164925,4522,4,337,5189,23019
164926,4523,33,1461,34513,23019
164927,4811,3,0,0,23019
164928,4841,48,830,39168,23019
164929,5173,30,633,30584,23019
164930,5179,4,35,1583,23019
164931,5191,8,9,308,23019
164932,4411,3,0,0,23021
164933,4412,4,17,407,23021
164934,4413,4,30,798,23021
164935,4441,10,123,5256,23021
164936,5242,4,11,453,23021
164937,5311,8,12,313,23021
164938,5312,3,2,133,23021
164939,7225,37,244,4116,23021
164940,8111,9,25,674,23021
164941,8122,3,0,0,23021
164942,8131,15,40,486,23021
164943,8139,4,12,257,23021
164944,4442,4,14,258,23021
