Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,126,133,1258,18464,21345,6768,25453,5375,23080,13390,20985,30045,87119,8823,51332,17621,26
2018,155,142,1290,19118,20636,6556,29245,5240,22459,15653,22003,30093,86392,9153,51770,18017,43
2019,164,141,1283,19879,19761,6477,31090,5373,21864,14536,22162,30272,86854,9150,52985,18051,43
2020,155,177,1337,20426,20208,6984,31411,5474,21561,10988,21826,29618,86973,9412,52223,17867,22
2021,165,142,1405,19022,18170,6276,30949,5194,21941,10200,21194,27052,81925,5804,43303,15784,30
