Naics,Establishments,Employees,Payroll,fips
213112,12,204,18365,40043
221115,3,50,3203,40043
238910,5,8,648,40043
444220,4,26,604,40043
446110,4,14,568,40043
447110,12,118,2118,40043
486210,3,45,3577,40043
522110,6,59,2857,40043
524210,5,9,259,40043
541940,3,10,231,40043
722511,3,40,359,40043
811121,4,4,125,40043
811310,5,23,1172,40043
813110,11,21,268,40043
447110,5,51,892,40059
484220,3,26,1576,40059
484230,3,13,462,40059
524210,7,12,219,40059
541211,4,15,376,40059
722511,3,21,154,40059
813110,8,23,256,40059
221122,4,271,23215,40035
238110,3,10,257,40035
238210,4,24,959,40035
211120,9,18,1182,40071
213111,5,47,2225,40071
213112,8,130,9161,40071
221115,4,11,772,40071
236220,8,75,4164,40071
236118,3,2,36,40071
237120,3,142,17242,40071
237130,3,24,2005,40071
237310,5,116,5487,40071
238160,4,4,131,40071
238210,11,104,6979,40071
238220,16,95,3820,40071
238910,5,45,2599,40071
238220,5,26,922,40035
424490,3,20,1087,40035
423820,4,36,1259,40035
441310,3,17,424,40035
444130,3,13,402,40035
445310,4,17,121,40035
447110,9,101,1787,40035
452319,4,43,734,40035
453310,3,29,147,40035
484121,3,17,781,40035
517311,6,37,3724,40035
522110,7,136,7117,40035
522291,5,8,244,40035
523920,3,7,408,40035
524210,8,24,661,40035
541110,5,14,556,40035
541211,3,15,661,40035
541219,3,4,45,40035
541940,5,26,817,40035
332999,3,24,894,40071
332710,6,42,2249,40071
423510,4,28,1502,40071
423720,3,9,379,40071
423830,6,40,2106,40071
423840,6,82,6273,40071
424690,3,51,2749,40071
424910,8,35,1309,40071
425120,4,37,900,40071
441120,4,23,556,40071
441110,5,141,6011,40071
441310,14,95,2515,40071
442210,3,9,395,40071
443142,3,11,198,40071
444130,3,28,677,40071
444190,6,22,789,40071
444220,3,24,613,40071
445110,7,184,3676,40071
445310,6,14,285,40071
446110,5,90,3417,40071
561730,4,9,157,40035
447110,27,214,3904,40071
621111,4,35,3011,40035
621610,7,265,6051,40035
623210,14,169,2904,40035
623220,4,44,810,40035
624120,17,117,1944,40035
721110,3,37,520,40035
722511,10,150,1951,40035
722513,7,169,2305,40035
722515,4,6,45,40035
811111,3,17,691,40035
812210,4,20,610,40035
447190,6,177,2938,40071
813110,22,78,1120,40035
448120,4,23,253,40071
448140,3,31,417,40071
448210,3,18,292,40071
448310,3,17,136,40071
452319,9,91,1421,40071
453220,4,47,533,40071
453991,4,18,362,40071
453998,3,29,937,40071
454310,4,30,1743,40071
454390,4,10,98,40071
484121,10,98,3628,40071
484220,9,193,8822,40071
484230,6,24,1363,40071
486210,5,38,3619,40071
511110,4,50,1018,40071
517312,4,40,953,40071
517311,5,27,2029,40071
522110,16,203,9735,40071
522291,15,44,1839,40071
522390,5,16,281,40071
523910,3,10,271,40071
523920,14,30,3160,40071
115210,3,24,926,40143
211120,182,2826,440373,40143
211130,22,409,58814,40143
212321,4,23,1612,40143
213112,75,1572,173174,40143
213111,20,1012,78958,40143
221112,3,77,7702,40143
221122,20,1052,113419,40143
221210,11,1908,217210,40143
221310,3,11,434,40143
221320,3,3,244,40143
236115,74,148,7278,40143
236116,3,87,7071,40143
236117,32,268,14322,40143
524210,31,96,5783,40071
531110,4,9,189,40071
531120,4,17,195,40071
531130,3,7,85,40071
531210,9,19,287,40071
531311,5,18,510,40071
532210,3,10,407,40071
541110,24,76,4812,40071
236118,107,337,12931,40143
541211,10,41,1687,40071
541213,3,15,165,40071
541219,6,47,1418,40071
541611,3,23,1057,40071
541940,6,48,1329,40071
551114,3,47,2829,40071
561110,4,92,2443,40071
561320,4,312,6273,40071
561710,3,25,517,40071
561720,6,91,2521,40071
561730,10,24,834,40071
561990,3,6,173,40071
621111,25,172,13103,40071
236210,7,196,13521,40143
236220,122,2117,151568,40143
237110,14,265,21298,40143
237120,16,1446,80864,40143
237130,26,410,22362,40143
237210,14,13,1254,40143
237310,17,1027,57218,40143
237990,6,62,3913,40143
238130,19,48,1953,40143
238110,58,512,23335,40143
238120,7,61,2615,40143
238140,41,748,34689,40143
238150,11,179,7264,40143
238160,63,391,19677,40143
238170,17,121,5109,40143
238190,8,223,10819,40143
621210,13,105,4552,40071
621310,4,12,411,40071
621320,3,20,867,40071
621330,3,5,140,40071
621420,4,62,2458,40071
238210,182,2473,146659,40143
621340,3,24,957,40071
621610,6,90,3140,40071
623110,8,328,6415,40071
623210,3,269,5744,40071
623312,3,8,198,40071
624110,3,11,104,40071
624120,9,173,1252,40071
624210,6,31,375,40071
624221,3,52,1191,40071
624410,9,98,1849,40071
713290,3,156,4488,40071
713990,3,12,302,40071
721110,17,196,2725,40071
722310,6,78,1174,40071
722410,4,13,109,40071
722511,35,487,6613,40071
722513,35,773,9579,40071
722515,4,41,391,40071
238340,20,146,4781,40143
238220,242,3702,208545,40143
238290,13,366,25867,40143
238310,51,974,41322,40143
238320,83,310,9870,40143
238330,31,93,5869,40143
238350,49,308,12349,40143
238390,7,81,3116,40143
238910,35,376,20867,40143
238990,83,1265,70613,40143
311811,16,90,1787,40143
311812,6,218,10022,40143
312120,7,53,1237,40143
314120,3,4,106,40143
314910,4,27,1007,40143
314999,4,19,602,40143
811111,11,59,2469,40071
811121,5,34,1318,40071
811192,4,24,475,40071
811310,7,56,1879,40071
812112,7,18,274,40071
812210,5,27,772,40071
812220,3,9,204,40071
812320,3,31,220,40071
813110,53,340,5196,40071
813410,4,9,53,40071
813910,6,13,464,40071
813930,3,5,178,40071
321911,3,26,1199,40143
321918,3,89,3472,40143
321920,8,94,2768,40143
323111,44,881,37196,40143
323113,17,168,5735,40143
323120,3,14,482,40143
325180,4,28,4769,40143
325211,4,307,20685,40143
325510,8,125,7469,40143
325992,3,14,898,40143
325998,5,61,5561,40143
326130,3,5,136,40143
326150,4,150,6276,40143
326199,13,183,7511,40143
326291,4,285,10663,40143
327215,3,131,5201,40143
327320,8,156,9036,40143
327390,7,245,11172,40143
327991,5,93,3580,40143
327999,3,30,969,40143
331210,3,621,44718,40143
332114,4,90,4162,40143
332312,16,1240,68927,40143
211120,6,10,593,40083
211130,4,29,2613,40083
213112,22,161,9344,40083
236115,4,8,218,40083
236117,3,2,120,40083
236118,12,23,733,40083
236220,13,39,1251,40083
237110,3,30,671,40083
