,relevant_naics,estab,emp,payann,fips
296186,722511,5,53,417,54071
296187,722513,4,26,295,54071
296188,811111,3,6,130,54071
296189,813110,7,9,272,54071
296190,448190,5,123,1700,54039
296191,448150,4,15,216,54039
296192,448210,16,136,2127,54039
296193,531311,16,124,4317,54039
296194,531312,8,36,2495,54039
296195,531320,9,20,1218,54039
296196,531390,3,3,152,54039
296197,621112,10,77,4961,54039
296198,621210,80,670,28577,54039
296199,621310,21,85,2099,54039
296200,812191,4,54,719,54039
296201,812199,6,35,887,54039
296202,812210,22,159,4962,54039
296203,812220,12,76,2340,54039
296204,812320,9,103,1646,54039
296205,325199,7,520,69095,54039
296206,325998,4,27,1427,54039
296207,327320,4,23,1606,54039
296208,332312,5,81,3352,54039
296209,332322,3,41,1869,54039
296210,332710,5,53,1592,54039
296211,448310,13,91,2594,54039
296212,451110,9,286,4815,54039
296213,451120,7,134,1371,54039
296214,451130,5,26,333,54039
296215,451140,4,25,746,54039
296216,532111,12,76,2242,54039
296217,532120,10,70,2722,54039
296218,532210,10,0,0,54039
296219,532283,4,43,1093,54039
296220,532310,3,43,750,54039
296221,532412,4,30,1945,54039
296222,621320,15,167,6406,54039
296223,621330,15,239,7280,54039
296224,621340,39,212,13593,54039
296225,621391,6,23,1358,54039
296226,812910,11,70,1495,54039
296227,812930,21,80,1704,54039
296228,332999,3,10,312,54039
296229,811111,11,48,1164,54077
296230,811121,3,26,696,54077
296231,812210,3,16,420,54077
296232,813110,25,49,898,54077
296233,813410,5,22,260,54077
296234,113310,4,18,573,54077
296235,236115,19,44,1223,54077
296236,236118,9,12,196,54077
296237,236220,4,8,503,54077
296238,237310,3,0,0,54077
296239,238220,9,48,2075,54077
296240,238910,16,336,20382,54077
296241,321113,4,0,0,54077
296242,441120,4,26,761,54077
296243,441310,7,46,1370,54077
296244,441320,3,23,381,54077
296245,444220,3,27,586,54077
296246,445110,4,91,1694,54077
296247,446110,7,62,2250,54077
296248,447110,26,221,3124,54077
296249,447190,3,0,0,54077
296250,452319,8,99,1916,54077
296251,453110,3,14,189,54077
296252,453991,4,0,0,54077
296253,454310,3,19,552,54077
296254,484110,6,27,1273,54077
296255,484121,5,15,720,54077
296256,484220,27,206,9464,54077
296257,339113,4,22,1320,54039
