	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
0	49	999	Statewide	11	Fishing	49	1141	8.0	4.0
12	49	999	Statewide	22	Natural gas distribution	49	2212	6.0	3.6
27	49	999	Statewide	31	Apparel knitting mills	49	3151	3.0	1.5
32	49	999	Statewide	31	Fabric mills	49	3132	8.0	3.4
33	49	999	Statewide	31	Fiber, yarn, and thread mills	49	3131	2.0	1.5
34	49	999	Statewide	31	Footwear manufacturing	49	3162	1.0	1.0
37	49	999	Statewide	31	Leather and hide tanning and finishing	49	3161	4.0	1.4
41	49	999	Statewide	31	Seafood product preparation and packaging	49	3117	1.0	1.0
61	49	999	Statewide	32	Pulp, paper, and paperboard mills	49	3221	7.0	3.4
85	49	999	Statewide	33	Household appliance manufacturing	49	3352	7.0	3.2
87	49	999	Statewide	33	Iron and steel mills and ferroalloy manufacturing	49	3311	10.25	4.0
103	49	999	Statewide	33	Railroad rolling stock manufacturing	49	3365	3.0	1.2
156	49	999	Statewide	48	Deep sea, coastal, and great lakes water transportation	49	4831	3.5	1.25
160	49	999	Statewide	48	Interurban and rural bus transportation	49	4852	2.0	1.0
162	49	999	Statewide	48	Other pipeline transportation	49	4869	1.0	1.2
176	49	999	Statewide	48	Support activities for water transportation	49	4883	4.0	2.0
198	49	999	Statewide	52	Monetary authorities - central bank	49	5211	2.0	1.0
259	49	999	Statewide	71	Gambling industries	49	7132	3.0	1.8
