Naics,Establishments,Employees,Payroll,fips
221116,3,69,5457,32001
236115,7,24,810,32001
236117,4,16,788,32001
236118,5,60,2999,32001
236220,5,17,1071,32001
238140,3,21,450,32001
238210,3,11,819,32001
238220,7,54,2610,32001
238910,5,182,10486,32001
441120,3,4,131,32001
441310,4,34,963,32001
441320,3,30,1313,32001
444190,3,27,1022,32001
444220,3,18,757,32001
445120,3,15,181,32001
446110,4,52,2064,32001
447110,8,57,1050,32001
484121,5,26,888,32001
492110,3,30,1698,32001
522110,5,49,2011,32001
522130,3,19,1121,32001
522292,3,9,1071,32001
522298,3,17,482,32001
522390,4,9,155,32001
524210,8,31,1315,32001
531110,9,45,727,32001
531210,3,5,65,32001
541110,4,11,615,32001
541213,3,31,182,32001
541219,3,6,84,32001
541330,5,138,11633,32001
541512,7,39,4352,32001
541940,4,44,2036,32001
561730,5,16,642,32001
561720,4,5,108,32001
621111,6,27,2704,32001
621210,7,41,1639,32001
621320,3,13,464,32001
623210,3,21,400,32001
624310,3,29,475,32001
624410,4,25,379,32001
713290,4,82,2448,32001
713940,7,57,496,32001
721110,9,85,1478,32001
722410,6,60,667,32001
722511,19,224,4049,32001
722513,16,317,5211,32001
811111,9,47,1738,32001
812112,3,10,322,32001
812910,5,15,160,32001
813110,11,76,1350,32001
813410,3,16,178,32001
813910,3,7,49,32001
115210,4,6,102,32005
213112,3,27,1327,32005
221310,4,39,802,32005
236115,23,110,4797,32005
236117,9,39,2039,32005
236118,28,155,7082,32005
236220,7,24,1715,32005
237110,3,17,858,32005
237310,3,36,3869,32005
238110,6,11,423,32005
238130,5,34,1384,32005
238140,5,32,1336,32005
238160,9,56,2728,32005
238150,4,14,942,32005
238210,19,130,5635,32005
238220,29,161,8294,32005
238310,6,294,12386,32005
238320,12,54,2621,32005
238330,3,16,411,32005
238340,8,38,1386,32005
238350,10,32,1700,32005
238910,17,129,10045,32005
238990,4,26,1711,32005
326199,3,88,4656,32005
332323,3,27,1378,32005
332710,9,61,3243,32005
334513,3,28,1382,32005
337110,5,21,964,32005
423120,3,14,513,32005
423690,4,12,582,32005
423610,3,6,241,32005
423830,3,26,3049,32005
424210,3,26,1300,32005
424490,3,3,197,32005
425120,10,24,1933,32005
441310,4,40,1354,32005
442291,3,7,294,32005
442299,5,46,796,32005
443142,3,69,1594,32005
444190,8,85,3501,32005
444220,4,35,861,32005
445110,4,255,8441,32005
445120,7,30,689,32005
445310,5,26,412,32005
447110,9,97,2100,32005
448140,3,77,963,32005
448120,4,13,251,32005
448310,3,17,330,32005
451110,9,50,796,32005
452311,3,554,20354,32005
452319,6,96,1122,32005
453910,6,34,806,32005
453998,4,17,554,32005
454110,18,54,1518,32005
454390,5,19,954,32005
481211,3,5,371,32005
484220,5,18,628,32005
488190,4,14,505,32005
488510,3,13,424,32005
511120,3,3,155,32005
511210,5,7,573,32005
517311,7,52,5016,32005
517312,7,41,1459,32005
518210,8,41,1395,32005
519130,9,31,2523,32005
522110,11,85,5365,32005
522292,10,27,5206,32005
522310,5,8,593,32005
522320,4,9,367,32005
522390,3,5,100,32005
523120,10,17,2460,32005
523910,4,6,109,32005
523920,10,31,8401,32005
523930,9,21,1343,32005
524210,28,107,5885,32005
531110,15,32,1059,32005
531120,7,46,4107,32005
531130,4,14,495,32005
531190,4,7,142,32005
531210,49,89,5489,32005
531311,18,284,7971,32005
531312,4,14,689,32005
531320,5,3,246,32005
531390,10,13,1270,32005
532111,3,5,164,32005
532412,6,21,1087,32005
532490,3,2,69,32005
541110,25,73,7341,32005
541219,14,50,1961,32005
541211,12,45,2590,32005
541213,3,11,165,32005
541310,3,5,489,32005
541320,4,24,1629,32005
541330,21,97,6119,32005
541380,4,12,1164,32005
541410,5,5,342,32005
541511,21,80,4202,32005
541512,17,37,3403,32005
541611,39,67,6121,32005
541519,6,8,278,32005
541613,15,37,2527,32005
541620,4,7,428,32005
541690,3,6,134,32005
541820,3,7,436,32005
541921,3,21,797,32005
541940,12,145,4708,32005
541990,8,14,876,32005
551114,4,52,4680,32005
561110,16,30,2989,32005
561320,4,199,5262,32005
561431,3,9,266,32005
561622,3,4,79,32005
561720,15,173,4344,32005
561730,34,175,8009,32005
561740,3,9,197,32005
561790,4,31,967,32005
561920,4,9,393,32005
561990,3,6,419,32005
611430,3,12,401,32005
611610,3,21,180,32005
611710,5,6,212,32005
621111,34,258,19519,32005
621310,7,10,269,32005
621210,22,183,9790,32005
621320,4,25,1230,32005
621330,6,17,565,32005
621340,8,59,2747,32005
621493,3,51,3809,32005
621498,3,14,1728,32005
624190,3,45,1105,32005
624210,4,13,260,32005
624410,9,71,1397,32005
711510,5,3,691,32005
713290,4,71,1920,32005
713940,10,75,1430,32005
713910,5,290,15582,32005
713990,7,25,396,32005
721110,11,143,5448,32005
721120,7,3853,137590,32005
722320,3,5,135,32005
722410,14,119,3579,32005
722511,54,621,12450,32005
722513,36,535,9627,32005
722515,13,120,1790,32005
811111,21,76,3223,32005
811121,4,29,1247,32005
811192,4,15,256,32005
811490,3,8,204,32005
812112,10,34,968,32005
812910,7,14,290,32005
812990,6,10,347,32005
813110,19,203,5233,32005
813211,4,5,796,32005
813910,4,10,467,32005
813990,8,151,4918,32005
212221,7,5014,545115,32007
115112,3,83,4145,32003
115114,3,39,2628,32003
115210,11,19,538,32003
211120,6,43,2818,32003
447110,4,32,874,32015
488410,3,23,858,32015
531190,3,3,76,32015
721110,6,38,514,32015
722511,6,70,1382,32015
722513,4,49,1024,32015
813110,4,10,116,32015
212311,4,52,5681,32003
212321,7,83,4926,32003
212399,3,69,4966,32003
213112,4,66,4727,32003
221112,10,221,33696,32003
221114,6,28,3956,32003
221122,21,1495,180909,32003
221210,7,1034,117801,32003
221310,5,11,423,32003
221330,3,102,8862,32003
236117,38,1403,132996,32003
236115,101,1318,81184,32003
236116,8,144,11324,32003
236118,334,2432,116996,32003
236210,6,94,6480,32003
236220,301,5684,476598,32003
237110,35,1147,76811,32003
447110,6,53,942,32027
237120,4,996,51571,32003
237130,21,698,61163,32003
237210,25,77,7885,32003
237310,26,1697,170379,32003
237990,8,44,3187,32003
238110,77,2770,136653,32003
238120,28,848,71406,32003
238140,77,3493,151103,32003
238130,43,2999,126307,32003
238150,53,640,40547,32003
238170,5,346,16083,32003
238160,42,1533,78309,32003
238190,27,239,12175,32003
236118,3,23,1004,32029
453220,9,27,783,32029
712110,4,12,213,32029
721110,4,35,815,32029
722410,3,19,501,32029
238220,532,10385,595164,32003
722511,6,58,904,32029
238210,402,7269,453108,32003
238290,47,673,65471,32003
238320,128,1602,71884,32003
238310,108,5762,326534,32003
238330,79,1678,74451,32003
238350,128,1609,78323,32003
238340,61,1218,91124,32003
238390,78,1031,43391,32003
238990,178,3067,172287,32003
238910,123,2455,143168,32003
115210,7,29,770,32031
211120,3,11,1117,32031
212221,4,1623,163642,32011
311352,6,98,4666,32003
311421,5,72,1286,32003
311520,4,30,1324,32003
311612,5,132,7548,32003
311811,47,502,10268,32003
311812,18,978,34424,32003
311821,4,154,7748,32003
311830,3,86,2242,32003
311919,3,50,2029,32003
311920,4,31,1389,32003
311991,9,452,11481,32003
311999,6,118,5476,32003
312112,5,204,11021,32003
312113,3,126,5043,32003
312120,10,79,5212,32003
312140,3,7,286,32003
314120,7,71,2373,32003
314910,3,17,653,32003
314999,22,108,3308,32003
315210,10,61,1450,32003
315220,6,15,487,32003
315240,3,8,170,32003
321214,5,540,24204,32003
321911,3,75,3128,32003
321920,4,73,2166,32003
321999,13,30,1098,32003
212221,9,81,8988,32031
212321,4,85,6407,32031
213112,5,29,2106,32031
213114,9,50,7919,32031
213115,4,3,224,32031
221116,4,95,10287,32031
221122,6,765,85732,32031
221310,3,11,231,32031
236115,79,408,24036,32031
236116,5,201,7683,32031
236117,20,287,22296,32031
236118,176,824,39920,32031
236220,77,1236,91083,32031
237130,11,251,32290,32031
237110,11,137,8844,32031
237210,11,29,930,32031
237310,13,1257,133258,32031
237990,3,11,685,32031
322291,3,399,28265,32003
323111,81,1659,78996,32003
323113,24,287,8565,32003
323120,4,17,591,32003
324121,7,162,7958,32003
325180,3,117,10304,32003
325199,3,8,600,32003
325411,5,88,6219,32003
325412,8,372,19599,32003
325611,3,126,3820,32003
325620,6,30,961,32003
325998,10,92,4003,32003
326111,3,643,26546,32003
326113,5,240,11134,32003
326130,3,75,2812,32003
326160,5,144,7437,32003
326191,3,233,9733,32003
326199,14,623,33496,32003
326212,3,30,2284,32003
327215,6,163,4280,32003
327331,7,168,9581,32003
327320,27,666,44255,32003
327390,8,409,16627,32003
327420,6,429,32859,32003
327991,11,165,6753,32003
238110,32,866,53333,32031
238120,9,101,7668,32031
238130,25,955,56545,32031
238140,27,526,24550,32031
238150,10,101,5641,32031
238160,38,555,26542,32031
238170,8,22,866,32031
238190,9,16,1116,32031
238210,131,1453,90700,32031
238290,15,136,13623,32031
238220,159,2271,144100,32031
238310,37,1066,53316,32031
238330,35,383,19542,32031
238320,84,567,25231,32031
238340,40,599,24057,32031
238350,46,265,14516,32031
327992,3,40,2067,32003
327999,6,199,6999,32003
332321,6,122,5623,32003
238390,14,104,3254,32031
332312,9,138,13194,32003
332322,29,779,37271,32003
332323,31,336,16125,32003
332510,6,84,2678,32003
332710,14,152,6482,32003
332618,4,58,3071,32003
332721,3,16,935,32003
332722,3,191,9904,32003
332812,9,106,3853,32003
332813,6,26,1261,32003
332994,5,41,1605,32003
332999,8,109,4063,32003
333241,3,10,590,32003
333249,3,13,598,32003
333413,3,67,3561,32003
333517,3,40,2242,32003
333999,4,213,7761,32003
334418,3,24,813,32003
334419,4,66,2330,32003
334510,7,39,1727,32003
334512,3,109,5465,32003
334513,5,80,3063,32003
334516,3,22,2307,32003
334519,3,67,3391,32003
335121,3,31,1518,32003
335122,4,16,928,32003
238910,52,821,55458,32031
238990,57,507,33690,32031
311352,6,73,2392,32031
311811,15,70,1371,32031
311812,4,71,2371,32031
311920,3,6,67,32031
311942,3,356,21650,32031
311991,3,368,13926,32031
312120,6,166,6149,32031
314120,3,33,2140,32031
314910,5,171,5539,32031
314999,5,25,1045,32031
321920,10,192,6770,32031
321992,4,19,893,32031
321999,3,8,337,32031
322220,4,65,3277,32031
323113,14,336,12660,32031
323111,36,737,37719,32031
324121,4,31,1831,32031
335911,3,83,4047,32003
335314,4,21,1054,32003
336310,6,50,2048,32003
336390,3,19,458,32003
336412,3,65,2855,32003
337122,4,29,980,32003
337110,19,154,5850,32003
337121,4,99,3596,32003
337127,3,212,10061,32003
337212,12,253,13905,32003
337215,11,58,2457,32003
337910,4,8,93,32003
339115,5,22,1052,32003
339112,3,34,1705,32003
339113,7,48,2496,32003
339116,38,259,10536,32003
339910,5,25,881,32003
339920,4,51,2634,32003
339930,3,8,297,32003
339940,3,58,3797,32003
339950,53,954,53842,32003
339999,31,1884,146306,32003
325412,3,86,3434,32031
325998,5,19,1234,32031
326199,23,558,28936,32031
327320,4,171,7105,32031
327390,3,95,5323,32031
327991,6,67,2361,32031
332312,7,352,23328,32031
332322,11,491,23534,32031
332323,10,33,1933,32031
332618,3,10,476,32031
332710,20,209,9748,32031
332812,8,83,3544,32031
332813,4,97,4180,32031
332999,6,106,5013,32031
333511,3,34,2008,32031
333912,3,127,16707,32031
334220,7,43,2852,32031
334418,4,201,7023,32031
334419,4,177,4598,32031
423130,14,221,11768,32003
423110,28,343,19398,32003
423120,57,671,32913,32003
423140,6,216,7491,32003
423210,40,219,11552,32003
423220,52,582,36012,32003
423310,27,339,20760,32003
423320,35,332,18788,32003
423330,14,144,10068,32003
423390,18,149,8365,32003
423410,5,18,1384,32003
423420,49,588,38661,32003
423430,30,442,30562,32003
423440,34,375,18045,32003
423450,78,473,48246,32003
423460,7,75,2610,32003
423490,12,46,2595,32003
336390,5,52,4656,32031
336411,3,50,4192,32031
337110,8,71,2805,32031
337212,5,272,14138,32031
339112,5,41,2803,32031
339113,5,33,1043,32031
339116,9,76,4443,32031
423510,29,346,19606,32003
339920,7,136,8746,32031
339950,13,156,8886,32031
339999,4,1882,140314,32031
423110,6,86,5785,32031
423130,5,56,3463,32031
423120,29,688,33216,32031
423210,8,59,4030,32031
423220,9,48,2819,32031
423310,12,271,15023,32031
423330,6,101,7303,32031
423320,6,48,2743,32031
423390,7,126,5942,32031
423420,17,160,9596,32031
423430,12,220,9956,32031
423440,6,53,2423,32031
423610,76,1156,81404,32003
423620,25,198,12257,32003
423710,41,469,32134,32003
423450,33,909,65937,32031
423690,59,481,37111,32003
423720,35,352,22854,32003
423740,6,66,4653,32003
423730,32,585,33761,32003
423810,20,644,46873,32003
423820,11,42,2480,32003
423830,77,584,41263,32003
423840,21,205,11882,32003
423850,29,409,26804,32003
423860,6,34,2400,32003
423920,15,109,8832,32003
423910,36,444,24576,32003
423930,20,242,11912,32003
423940,30,228,10724,32003
423990,65,1501,155783,32003
423510,11,154,10206,32031
423610,30,517,27389,32031
423710,17,162,8544,32031
423620,8,70,3741,32031
423690,23,1455,95076,32031
423720,15,475,28187,32031
423810,27,522,33234,32031
423730,10,43,3792,32031
423820,6,37,1644,32031
423830,47,644,46052,32031
423840,17,379,23679,32031
423850,9,75,3509,32031
423860,7,75,6759,32031
423910,24,350,17831,32031
423920,4,21,1676,32031
423930,9,154,5184,32031
423940,6,7,426,32031
423990,18,143,6272,32031
424120,7,88,5322,32031
424130,11,150,12111,32031
424110,3,26,1219,32003
424120,13,121,5558,32003
424130,16,167,8725,32003
424210,102,893,41777,32003
424310,8,23,1162,32003
424320,12,57,2130,32003
424330,26,130,8184,32003
424340,7,69,2994,32003
424420,24,622,29409,32003
424410,14,480,30760,32003
424430,10,65,3867,32003
424450,23,449,22978,32003
424460,11,99,5225,32003
424470,8,177,9940,32003
424480,21,807,32127,32003
424490,104,2168,115186,32003
424610,17,163,9528,32003
424710,11,136,11738,32003
424690,29,170,12856,32003
424210,22,367,30327,32031
424320,5,901,48503,32031
424330,4,311,11988,32031
424410,6,215,14092,32031
424420,7,80,3216,32031
424450,4,80,2623,32031
424470,5,194,9463,32031
424490,23,693,30974,32031
424590,4,17,607,32031
424690,18,146,11307,32031
424610,5,24,1945,32031
424710,7,102,6679,32031
424720,5,28,4121,32031
424820,5,308,20447,32031
424920,6,240,7648,32031
424930,3,12,555,32031
424950,5,51,2103,32031
424990,13,133,6707,32031
425120,51,224,13085,32031
441110,21,1693,108348,32031
441120,39,332,17009,32031
441210,5,84,6634,32031
441222,5,25,1107,32031
441228,19,200,9136,32031
424720,8,217,7873,32003
424810,3,563,30404,32003
424820,24,1108,172727,32003
424910,8,23,1571,32003
424920,4,44,541,32003
424930,15,89,3970,32003
424940,20,631,23173,32003
424950,9,69,4456,32003
424990,84,370,15544,32003
425120,225,757,44126,32003
425110,3,5,298,32003
441110,76,6544,441501,32003
441120,93,1115,51198,32003
441210,21,487,27438,32003
441222,6,78,3546,32003
441228,31,671,24939,32003
441310,58,865,30665,32031
441320,38,361,16766,32031
442110,35,483,21714,32031
442291,3,15,825,32031
442210,16,143,6522,32031
442299,18,202,5164,32031
443141,9,84,3144,32031
443142,22,403,11618,32031
444110,8,1170,27552,32031
444120,10,72,3945,32031
