,fips,relevant_naics,YEAR,estab,emp,payann
1,55,1141,2018,3,3,254
3,55,1133,2018,241,648,23626
5,55,1152,2018,127,1451,79766
7,55,1151,2018,53,405,22830
9,55,1153,2018,3,24,1159
11,55,2123,2018,100,6407,792329
13,55,2211,2018,229,9854,1041901
15,55,2212,2018,37,1397,182975
16,55,2213,2018,3,61,6999
18,55,2382,2018,3472,38657,2580343
20,55,2383,2018,2456,14483,699285
22,55,2381,2018,2260,14048,825507
24,55,2373,2018,103,2221,285650
26,55,2372,2018,44,101,9063
28,55,2362,2018,590,14210,1113089
30,55,2379,2018,45,480,32635
32,55,2389,2018,1462,9407,768351
34,55,2361,2018,3031,11756,574226
36,55,2371,2018,318,7665,1100436
38,55,3111,2018,47,1234,65172
40,55,3116,2018,94,13467,652924
42,55,3118,2018,172,5163,189896
44,55,3121,2018,154,4221,201220
46,55,3152,2018,6,26,973
48,55,3115,2018,210,22146,1254058
50,55,3132,2018,6,289,21668
52,55,3114,2018,71,8810,536554
54,55,3112,2018,9,224,13471
56,55,3161,2018,5,333,16553
58,55,3119,2018,78,6334,356397
60,55,3169,2018,3,7,166
62,55,3149,2018,58,588,24027
64,55,3113,2018,35,1039,45994
66,55,3251,2018,26,1381,81358
68,55,3273,2018,200,3099,189379
69,55,3271,2018,3,23,445
71,55,3222,2018,138,15939,994909
73,55,3272,2018,19,1478,67744
75,55,3259,2018,27,592,37807
77,55,3279,2018,46,1249,64967
79,55,3219,2018,354,12919,508373
81,55,3255,2018,42,2248,169740
83,55,3253,2018,3,89,5051
85,55,3241,2018,9,227,21992
87,55,3254,2018,45,3115,256026
89,55,3261,2018,365,28682,1461655
91,55,3231,2018,651,25454,1296578
93,55,3221,2018,22,6524,491713
95,55,3252,2018,22,672,40924
97,55,3262,2018,26,1133,69300
99,55,3211,2018,78,1514,60237
101,55,3256,2018,38,2614,185691
103,55,3212,2018,17,627,38252
105,55,3364,2018,10,345,21372
107,55,3331,2018,82,10709,679239
109,55,3323,2018,327,16022,908922
111,55,3324,2018,24,1845,111310
113,55,3328,2018,209,6500,286959
115,55,3333,2018,40,2065,129913
117,55,3342,2018,6,168,12130
119,55,3341,2018,17,1958,108990
121,55,3322,2018,21,1097,59550
123,55,3351,2018,7,304,20751
125,55,3353,2018,65,8905,611844
127,55,3336,2018,46,5506,398176
129,55,3321,2018,95,6280,370941
131,55,3315,2018,67,8332,486829
133,55,3325,2018,10,861,45765
135,55,3371,2018,217,4738,204054
137,55,3352,2018,7,2873,198334
139,55,3332,2018,126,6319,438754
141,55,3327,2018,815,17339,908576
144,55,3391,2018,166,4267,225425
146,55,3335,2018,298,6967,430069
148,55,3362,2018,19,1268,63863
150,55,3363,2018,93,9138,474610
152,55,3345,2018,104,8422,856853
154,55,3314,2018,3,144,8870
156,55,3372,2018,72,2592,138584
158,55,3359,2018,26,1313,64483
160,55,3329,2018,198,7665,457081
162,55,3379,2018,3,42,1628
164,55,3339,2018,207,12893,891250
166,55,3399,2018,324,8777,568474
168,55,3369,2018,6,147,7680
170,55,3365,2018,4,230,17870
172,55,3344,2018,51,3672,199995
174,55,3366,2018,7,637,24610
176,55,3326,2018,18,776,47170
178,55,3312,2018,10,487,31259
180,55,3334,2018,18,1390,98551
182,55,4243,2018,67,866,53325
184,55,4248,2018,50,2962,153730
186,55,4246,2018,206,3055,185729
188,55,4242,2018,93,2362,143846
190,55,4245,2018,63,1090,62392
192,55,4232,2018,131,2384,149489
194,55,4244,2018,503,15473,852758
196,55,4237,2018,323,5837,432585
198,55,4236,2018,404,9040,817355
200,55,4233,2018,285,5107,291518
202,55,4238,2018,1308,21064,1403940
204,55,4235,2018,115,2330,140490
206,55,4239,2018,427,7519,432312
208,55,4249,2018,552,7277,387257
210,55,4231,2018,388,9451,529715
212,55,4241,2018,118,1323,85553
214,55,4247,2018,80,826,55919
216,55,4234,2018,535,10408,703600
218,55,4251,2018,613,3485,209763
220,55,4411,2018,960,28661,1297369
222,55,4413,2018,990,8871,265411
224,55,4453,2018,389,1942,34463
226,55,4441,2018,1248,25490,796668
228,55,4481,2018,1243,15806,237761
230,55,4431,2018,508,5318,167777
232,55,4421,2018,372,3637,130892
234,55,4471,2018,2573,27489,548978
236,55,4451,2018,1104,49112,962541
238,55,4461,2018,1270,17281,596553
240,55,4422,2018,527,4592,127668
242,55,4483,2018,308,1787,61504
244,55,4442,2018,392,3492,118327
246,55,4412,2018,395,4428,184659
248,55,4482,2018,328,3782,52821
250,55,4452,2018,428,3996,76442
252,55,4512,2018,95,1066,16068
254,55,4522,2018,126,12104,190878
256,55,4543,2018,644,3277,124071
258,55,4541,2018,672,18144,822533
260,55,4531,2018,208,1118,17625
262,55,4523,2018,717,44710,1114367
264,55,4532,2018,410,2560,43191
266,55,4539,2018,738,4582,113414
268,55,4511,2018,838,9523,178264
270,55,4533,2018,390,5508,92917
272,55,4542,2018,51,774,27668
276,55,4885,2018,223,2424,147968
278,55,4841,2018,2164,39115,2072207
280,55,4812,2018,6,51,2728
282,55,4889,2018,14,113,5800
284,55,4859,2018,92,1312,32365
286,55,4861,2018,3,102,8771
287,55,4871,2018,3,12,586
289,55,4872,2018,9,10,964
291,55,4811,2018,14,2173,108598
293,55,4854,2018,217,8491,165792
295,55,4842,2018,1660,13218,660431
297,55,4881,2018,64,1443,65737
299,55,4882,2018,3,20,870
301,55,4884,2018,125,928,34093
303,55,4883,2018,9,64,4288
305,55,4853,2018,76,1075,21263
308,55,4921,2018,123,7622,332838
310,55,4922,2018,58,699,19708
312,55,4931,2018,407,18130,783897
314,55,5182,2018,163,5786,385810
316,55,5121,2018,180,2597,48888
318,55,5111,2018,303,6096,275950
320,55,5191,2018,59,940,130676
322,55,5179,2018,31,172,8029
324,55,5151,2018,108,3524,184808
326,55,5112,2018,120,17179,2011964
328,55,5122,2018,18,266,14429
330,55,5173,2018,1328,16197,1004337
332,55,5223,2018,256,1983,97725
334,55,5242,2018,2892,20510,1217920
336,55,5221,2018,2570,39513,2369306
338,55,5241,2018,461,55933,5301918
340,55,5222,2018,559,7105,531894
342,55,5239,2018,1355,5993,817198
344,55,5231,2018,486,5923,826893
346,55,5313,2018,1121,9583,390600
348,55,5321,2018,222,1963,81497
350,55,5324,2018,139,1934,102748
352,55,5322,2018,251,1802,61489
354,55,5323,2018,10,53,2785
356,55,5331,2018,16,214,17183
358,55,5311,2018,1583,7318,271016
360,55,5312,2018,1552,4260,213939
362,55,5412,2018,1897,16661,723147
364,55,5418,2018,502,6271,389455
366,55,5413,2018,1536,19799,1578887
