Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,897,399,435,47950,39842,20449,64268,11089,38491,20670,42405,16944,132509,14474,77759,35944,21
2018,1055,780,668,49503,39949,20468,66818,11743,38196,20219,42780,18180,135155,14692,78962,36418,44
2019,1163,728,736,48558,39515,20281,69190,11871,39033,19797,41499,18520,136624,15161,79186,36673,40
2020,1045,627,669,51746,40113,19952,72511,12183,39038,20902,42330,18178,137424,14798,77986,36006,56
2021,947,608,668,51736,39708,18426,66556,12240,40190,17567,43250,18184,138522,12259,72180,35035,34
