Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,923,95,510,18179,12927,4576,14926,12271,29630,1772,12535,3084,25301,3422,21219,21839,145
2018,902,86,502,18811,12801,4773,14693,12849,29855,1698,12536,3118,25504,3494,21518,21895,363
2019,878,92,497,19396,12498,4871,14817,13211,29970,1641,12784,3117,26279,3616,22070,22300,378
2020,894,99,489,20079,12335,5041,14984,13874,30955,1598,13167,3210,26849,3792,22335,22698,528
2021,907,98,500,21015,12451,5035,14998,14742,31818,1591,14028,3308,27822,4025,23138,23586,485
