Zip Code,naics,Establishments,Employees,Payroll,IND Level
28779,61,7,001,0,2
28779,61,4,210,0,2
28779,61,3,230,0,2
28779,62,75,001,0,2
28779,62,39,210,0,2
28779,62,11,220,0,2
28779,62,14,230,0,2
28779,62,5,241,0,2
28779,62,3,242,0,2
28779,71,9,001,0,2
28779,71,7,210,0,2
28779,72,55,001,0,2
28779,72,15,210,0,2
28779,72,8,220,0,2
28779,72,12,230,0,2
28779,72,17,241,0,2
28779,72,3,242,0,2
28779,81,57,001,0,2
28779,81,43,210,0,2
28779,81,9,220,0,2
28779,81,3,241,0,2
28779,00,493,001,188330,2
28779,00,286,210,0,2
28779,00,87,220,0,2
28779,00,61,230,0,2
28779,00,43,241,0,2
28779,00,9,242,0,2
28779,00,5,251,0,2
28779,22,3,001,0,2
28779,23,45,001,0,2
28779,23,30,210,0,2
28779,23,9,220,0,2
28779,23,3,230,0,2
28779,23,3,241,0,2
28779,31-33,8,001,0,2
28779,31-33,5,210,0,2
28779,42,10,001,0,2
28779,42,7,210,0,2
28779,44-45,87,001,0,2
28779,44-45,41,210,0,2
28779,44-45,23,220,0,2
28779,44-45,14,230,0,2
28779,44-45,7,241,0,2
28779,48-49,10,001,0,2
28779,48-49,7,210,0,2
28779,51,9,001,0,2
28779,51,3,210,0,2
28779,51,3,220,0,2
28779,52,17,001,0,2
28779,52,7,210,0,2
28779,52,7,220,0,2
28779,53,26,001,0,2
28779,53,23,210,0,2
28779,54,45,001,0,2
28779,54,32,210,0,2
28779,54,9,220,0,2
28779,54,4,230,0,2
28779,56,28,001,0,2
28779,56,19,210,0,2
28779,56,4,220,0,2
28779,56,3,230,0,2
