	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
8	45	999	Statewide	21	Coal mining	45	2121	3.0	1.5
9	45	999	Statewide	21	Metal ore mining	45	2122	2.25	1.2
11	45	999	Statewide	21	Oil and gas extraction	45	2111	3.0	1.0
29	45	999	Statewide	31	Apparel knitting mills	45	3151	7.0	2.6
36	45	999	Statewide	31	Footwear manufacturing	45	3162	2.0	1.0
39	45	999	Statewide	31	Leather and hide tanning and finishing	45	3161	4.0	2.0
43	45	999	Statewide	31	Seafood product preparation and packaging	45	3117	5.0	2.3333333333333335
53	45	999	Statewide	32	Lime and gypsum product manufacturing	45	3274	9.25	4.0
73	45	999	Statewide	33	Audio and video equipment manufacturing	45	3343	6.0	2.6
170	45	999	Statewide	48	Pipeline transportation of crude oil	45	4861	4.0	3.6666666666666665
173	45	999	Statewide	48	Scenic and sightseeing transportation, other	45	4879	5.0	3.4444444444444446
