	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
8	12	999	Statewide	21	Coal mining	12	2121	7.0	2.0
204	12	999	Statewide	52	Monetary authorities - central bank	12	5211	4.0	2.0
