Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
04345,524210,3,1,0,6
04345,541219,5,1,0,6
04345,541219,4,210,0,6
04345,551114,4,1,0,6
04345,561730,3,1,0,6
04345,623210,4,1,0,6
04345,624120,3,1,0,6
04345,624410,5,1,0,6
04345,722511,7,1,0,6
04345,722511,3,210,0,6
04345,722511,3,230,0,6
04345,722513,4,1,0,6
04345,811111,6,1,0,6
04345,811111,4,210,0,6
04345,813110,12,1,0,6
04345,813110,10,210,0,6
04345,236115,9,1,0,6
04345,236115,7,210,0,6
04345,236118,4,1,0,6
04345,236118,4,210,0,6
04345,236220,3,1,0,6
04345,238210,6,1,0,6
04345,238210,5,210,0,6
04345,238220,4,1,0,6
04345,238220,4,210,0,6
04345,238910,9,1,0,6
04345,238910,5,210,0,6
04345,445110,3,1,0,6
04345,447110,5,1,0,6
04345,447110,4,230,0,6
