Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30606,81,117,001,0,2
30606,81,59,210,0,2
30606,81,33,220,0,2
30606,81,13,230,0,2
30606,81,11,241,0,2
30606,48-49,10,001,0,2
30606,48-49,6,210,0,2
30606,51,28,001,0,2
30606,51,15,210,0,2
30606,51,5,220,0,2
30606,51,4,241,0,2
30606,99,3,001,0,2
30606,99,3,210,0,2
30606,52,87,001,0,2
30606,52,5,241,0,2
30606,52,56,210,0,2
30606,52,17,220,0,2
30606,52,9,230,0,2
30606,53,86,001,0,2
30606,53,58,210,0,2
30606,53,11,220,0,2
30606,53,10,230,0,2
30606,53,4,241,0,2
30606,54,145,001,0,2
30606,54,107,210,0,2
30606,54,18,220,0,2
30606,54,11,230,0,2
30606,54,8,241,0,2
30606,56,52,001,0,2
30606,56,26,210,0,2
30606,56,4,220,0,2
30606,56,8,230,0,2
30606,56,8,241,0,2
30606,56,3,242,0,2
30606,61,14,001,0,2
30606,61,6,210,0,2
30606,61,4,241,0,2
30606,00,1449,001,931817,2
30606,00,683,210,0,2
30606,00,279,220,0,2
30606,00,208,230,0,2
30606,00,194,241,0,2
30606,00,56,242,0,2
30606,00,23,251,0,2
30606,00,3,252,0,2
30606,22,3,001,0,2
30606,23,62,001,0,2
30606,23,39,210,0,2
30606,23,11,220,0,2
30606,23,7,230,0,2
30606,23,3,241,0,2
30606,62,321,001,0,2
30606,62,144,210,0,2
30606,62,72,220,0,2
30606,62,48,230,0,2
30606,62,43,241,0,2
30606,62,9,242,0,2
30606,31-33,22,001,0,2
30606,31-33,6,210,0,2
30606,31-33,8,220,0,2
30606,31-33,3,230,0,2
30606,31-33,4,241,0,2
30606,42,43,001,0,2
30606,42,27,210,0,2
30606,42,9,220,0,2
30606,42,6,230,0,2
30606,44-45,276,001,0,2
30606,44-45,91,210,0,2
30606,44-45,66,220,0,2
30606,44-45,55,230,0,2
30606,44-45,36,241,0,2
30606,44-45,18,242,0,2
30606,44-45,9,251,0,2
30606,71,36,001,0,2
30606,71,21,210,0,2
30606,71,4,220,0,2
30606,71,6,230,0,2
30606,71,3,242,0,2
30606,72,141,001,0,2
30606,72,16,210,0,2
30606,72,19,220,0,2
30606,72,26,230,0,2
30606,72,58,241,0,2
30606,72,15,242,0,2
30606,72,7,251,0,2
