Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
59864,62111,4,1,0,5
59864,62111,3,210,0,5
59864,62321,3,1,0,5
59864,62441,3,1,0,5
59864,62441,3,210,0,5
59864,72241,4,1,0,5
59864,72251,10,1,0,5
59864,72251,6,230,0,5
59864,81311,4,1,0,5
59864,81311,3,210,0,5
59864,23611,10,1,0,5
59864,23611,8,210,0,5
59864,23821,3,1,0,5
59864,23821,3,210,0,5
59864,23822,6,1,0,5
59864,23822,4,210,0,5
59864,44111,5,1,0,5
59864,44111,3,241,0,5
59864,44131,3,1,0,5
59864,44131,3,210,0,5
59864,44711,4,1,0,5
59864,44711,3,220,0,5
59864,52421,3,1,0,5
59864,52421,3,210,0,5
59864,54111,3,1,0,5
59864,54111,3,210,0,5
59864,54161,3,1,0,5
59864,54161,3,210,0,5
59864,54194,3,1,0,5
59864,56173,3,1,0,5
59864,56173,3,210,0,5
59864,56299,3,1,0,5
59864,56299,3,210,0,5
