Zip Code,naics,Establishments,Employees,Payroll,IND Level
46809,31-33,59,001,0,2
46809,31-33,10,210,0,2
46809,31-33,11,220,0,2
46809,31-33,9,230,0,2
46809,31-33,8,241,0,2
46809,31-33,7,242,0,2
46809,31-33,13,251,0,2
46809,42,28,001,0,2
46809,42,7,210,0,2
46809,42,6,220,0,2
46809,42,6,230,0,2
46809,42,6,241,0,2
46809,44-45,51,001,0,2
46809,44-45,19,210,0,2
46809,44-45,15,220,0,2
46809,44-45,8,230,0,2
46809,44-45,7,241,0,2
46809,48-49,36,001,0,2
46809,48-49,9,210,0,2
46809,48-49,9,220,0,2
46809,48-49,6,230,0,2
46809,48-49,5,241,0,2
46809,48-49,5,242,0,2
46809,51,4,001,0,2
46809,51,3,210,0,2
46809,52,17,001,0,2
46809,52,10,210,0,2
46809,52,4,220,0,2
46809,53,22,001,0,2
46809,53,12,210,0,2
46809,53,5,220,0,2
46809,53,3,230,0,2
46809,54,18,001,0,2
46809,54,9,210,0,2
46809,54,7,220,0,2
46809,56,24,001,0,2
46809,56,13,210,0,2
46809,56,3,220,0,2
46809,56,4,241,0,2
46809,62,20,001,0,2
46809,62,4,210,0,2
46809,62,3,220,0,2
46809,62,8,230,0,2
46809,62,3,252,0,2
46809,71,7,001,0,2
46809,71,5,210,0,2
46809,72,27,001,0,2
46809,72,5,210,0,2
46809,72,8,220,0,2
46809,72,5,230,0,2
46809,72,8,241,0,2
46809,81,38,001,0,2
46809,81,23,210,0,2
46809,81,7,220,0,2
46809,81,6,230,0,2
46809,00,389,001,508695,2
46809,00,139,210,0,2
46809,00,84,220,0,2
46809,00,67,230,0,2
46809,00,46,241,0,2
46809,00,24,242,0,2
46809,00,24,251,0,2
46809,00,3,252,0,2
46809,21,4,001,0,2
46809,22,3,001,0,2
46809,23,27,001,0,2
46809,23,8,210,0,2
46809,23,5,220,0,2
46809,23,7,230,0,2
46809,23,3,241,0,2
