Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
44107,541,110,001,0,3
44107,541,84,210,0,3
44107,541,14,220,0,3
44107,541,8,230,0,3
44107,541,4,241,0,3
44107,551,4,001,0,3
44107,551,3,210,0,3
44107,561,58,001,0,3
44107,561,39,210,0,3
44107,561,9,220,0,3
44107,561,3,241,0,3
44107,561,3,251,0,3
44107,611,20,001,0,3
44107,611,11,210,0,3
44107,611,5,220,0,3
44107,621,77,001,0,3
44107,621,39,210,0,3
44107,621,22,220,0,3
44107,621,12,230,0,3
44107,623,8,001,0,3
44107,623,3,241,0,3
44107,624,21,001,0,3
44107,624,12,210,0,3
44107,624,3,230,0,3
44107,624,3,241,0,3
44107,711,6,001,0,3
44107,711,5,210,0,3
44107,712,3,001,0,3
44107,712,3,210,0,3
44107,713,9,001,0,3
44107,713,3,210,0,3
44107,713,3,241,0,3
44107,722,149,001,0,3
44107,722,51,210,0,3
44107,722,28,220,0,3
44107,722,28,230,0,3
44107,722,34,241,0,3
44107,722,7,242,0,3
44107,236,16,001,0,3
44107,236,12,210,0,3
44107,238,50,001,0,3
44107,238,32,210,0,3
44107,238,7,220,0,3
44107,238,9,230,0,3
44107,811,12,001,0,3
44107,811,6,210,0,3
44107,811,4,220,0,3
44107,812,49,001,0,3
44107,812,28,210,0,3
44107,812,12,220,0,3
44107,812,7,230,0,3
44107,311,5,001,0,3
44107,323,8,001,0,3
44107,323,6,210,0,3
44107,332,3,001,0,3
44107,813,45,001,0,3
44107,813,27,210,0,3
44107,813,6,220,0,3
44107,813,12,230,0,3
44107,423,14,001,0,3
44107,423,8,210,0,3
44107,424,7,001,0,3
44107,424,3,210,0,3
44107,425,7,001,0,3
44107,425,7,210,0,3
44107,441,9,001,0,3
44107,441,5,220,0,3
44107,441,3,230,0,3
44107,442,4,001,0,3
44107,442,3,210,0,3
44107,443,5,001,0,3
44107,443,3,220,0,3
44107,444,3,001,0,3
44107,445,32,001,0,3
44107,445,14,210,0,3
44107,445,5,220,0,3
44107,445,9,230,0,3
44107,446,9,001,0,3
44107,446,5,241,0,3
44107,447,11,001,0,3
44107,447,4,210,0,3
44107,447,4,220,0,3
44107,448,9,001,0,3
44107,448,5,210,0,3
44107,451,6,001,0,3
44107,451,4,210,0,3
44107,452,4,001,0,3
44107,452,3,220,0,3
44107,453,20,001,0,3
44107,453,10,210,0,3
44107,453,6,220,0,3
44107,453,4,230,0,3
44107,454,4,001,0,3
44107,454,3,210,0,3
44107,484,13,001,0,3
44107,484,11,210,0,3
44107,488,4,001,0,3
44107,511,4,001,0,3
44107,511,3,210,0,3
44107,517,7,001,0,3
44107,517,3,210,0,3
44107,517,3,220,0,3
44107,518,3,001,0,3
44107,518,3,210,0,3
44107,522,23,001,0,3
44107,522,10,210,0,3
44107,522,9,220,0,3
44107,522,3,230,0,3
44107,523,5,001,0,3
44107,523,5,210,0,3
44107,524,26,001,0,3
44107,524,21,210,0,3
44107,531,46,001,0,3
44107,531,32,210,0,3
44107,531,11,220,0,3
