Zip Code,naics,Establishments,Employees,Payroll,IND Level
05091,00,210,001,65933,2
05091,00,128,210,0,2
05091,00,37,220,0,2
05091,00,27,230,0,2
05091,00,14,241,0,2
05091,11,3,001,0,2
05091,11,3,210,0,2
05091,23,19,001,0,2
05091,23,14,210,0,2
05091,23,4,230,0,2
05091,31-33,6,001,0,2
05091,31-33,6,210,0,2
05091,44-45,32,001,0,2
05091,44-45,17,210,0,2
05091,44-45,5,220,0,2
05091,44-45,7,230,0,2
05091,51,5,001,0,2
05091,52,13,001,0,2
05091,52,6,210,0,2
05091,52,7,220,0,2
05091,53,10,001,0,2
05091,53,8,210,0,2
05091,54,20,001,0,2
05091,54,18,210,0,2
05091,56,17,001,0,2
05091,56,13,210,0,2
05091,62,21,001,0,2
05091,62,9,210,0,2
05091,62,4,220,0,2
05091,62,4,230,0,2
05091,62,3,241,0,2
05091,71,8,001,0,2
05091,71,3,230,0,2
05091,72,27,001,0,2
05091,72,12,210,0,2
05091,72,7,220,0,2
05091,72,3,230,0,2
05091,72,4,241,0,2
05091,81,24,001,0,2
05091,81,16,210,0,2
05091,81,6,220,0,2
