,fips,relevant_naics,YEAR,estab,emp,payann
429,12,5611,2018,2886,38998,1992294
431,12,5619,2018,1340,19056,626795
433,12,5629,2018,627,5951,294818
435,12,5617,2018,20396,161974,4350519
437,12,5615,2018,1863,24657,1459182
439,12,5621,2018,554,14005,793214
441,12,5622,2018,100,2138,122551
443,12,6114,2018,645,5428,366147
445,12,6113,2018,256,62277,2738012
447,12,6117,2018,571,4104,169409
449,12,6111,2018,1461,64961,2183803
451,12,6112,2018,42,2670,119168
453,12,6116,2018,3483,20302,521381
455,12,6115,2018,652,10747,510175
457,12,6244,2018,4417,60745,1233626
459,12,6242,2018,505,7482,257868
461,12,6233,2018,1668,64842,1679743
463,12,6221,2018,200,287697,17868027
465,12,6216,2018,2760,76691,2717151
467,12,6241,2018,3637,58194,1592248
469,12,6215,2018,1677,23284,1314812
471,12,6231,2018,848,93612,3155792
473,12,6212,2018,8253,52882,2777411
475,12,6213,2018,12491,56398,2296348
477,12,6211,2018,20225,193659,16425375
479,12,6219,2018,819,15694,630851
481,12,6239,2018,279,4454,133743
483,12,6214,2018,3009,58863,2803040
485,12,6222,2018,7,1973,70283
487,12,6232,2018,1172,27271,882313
489,12,6223,2018,21,11033,604356
491,12,6243,2018,292,7281,189461
493,12,7114,2018,360,774,58936
495,12,7131,2018,299,66004,1571642
497,12,7132,2018,64,4466,149794
499,12,7115,2018,1508,2668,188688
501,12,7121,2018,333,8257,277420
503,12,7139,2018,4737,97881,2264506
505,12,7111,2018,601,5101,135741
507,12,7113,2018,585,17366,483524
509,12,7112,2018,537,15263,2018097
511,12,7224,2018,1735,19751,398358
513,12,7212,2018,306,2873,74079
515,12,7225,2018,34785,746111,13549948
517,12,7213,2018,57,424,7678
519,12,7223,2018,2447,44065,980070
521,12,7211,2018,3535,182075,5591492
523,12,8111,2018,10068,51168,1739678
525,12,8139,2018,4499,33785,1527148
527,12,8134,2018,1042,7165,163715
529,12,8113,2018,1257,9798,520806
531,12,8122,2018,840,6932,255766
533,12,8123,2018,1944,16859,448384
535,12,8112,2018,1220,6392,274850
537,12,8132,2018,976,7706,423006
539,12,8129,2018,4259,27369,563779
541,12,8114,2018,2774,10168,362108
543,12,8121,2018,10187,45331,1073546
545,12,8131,2018,8978,103944,2466445
547,12,8133,2018,751,5224,220329
