	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
7	27	999	Statewide	11	Other marine fishing	27	114119	1.0	1.0
9	27	999	Statewide	11	Shellfish fishing	27	114112	1.0	1.0
14	27	999	Statewide	21	All other metal ore mining	27	212299	3.333333333333333	1.75
17	27	999	Statewide	21	Copper ore and nickel ore mining	27	212234	6.0	2.4
26	27	999	Statewide	21	Support activities for coal mining	27	213113	1.0	1.0
31	27	999	Statewide	22	Electric bulk power transmission and control	27	221121	6.0	4.444444444444445
36	27	999	Statewide	22	Nuclear electric power generation	27	221113	3.0	1.8
79	27	999	Statewide	31	Beet sugar manufacturing	27	311313	10.0	5.0
83	27	999	Statewide	31	Broadwoven fabric mills	27	313210	10.0	3.6666666666666665
84	27	999	Statewide	31	Cane sugar manufacturing	27	311314	2.0	1.0
85	27	999	Statewide	31	Carpet and rug mills	27	314110	4.0	1.4
87	27	999	Statewide	31	Chocolate and confectionery manufacturing from cacao beans	27	311351	6.0	3.0
103	27	999	Statewide	31	Flavoring syrup and concentrate manufacturing	27	311930	4.0	1.4
106	27	999	Statewide	31	Footwear manufacturing	27	316210	6.0	2.3333333333333335
111	27	999	Statewide	31	Hosiery and sock mills	27	315110	1.0	1.0
112	27	999	Statewide	31	Ice cream and frozen dessert manufacturing	27	311520	13.25	5.777777777777778
120	27	999	Statewide	31	Narrow fabric mills and schiffli machine embroidery	27	313220	4.0	1.4
122	27	999	Statewide	31	Nonwoven fabric mills	27	313230	3.0	1.3333333333333333
124	27	999	Statewide	31	Other apparel knitting mills	27	315190	4.0	2.0
134	27	999	Statewide	31	Seafood product preparation and packaging	27	311710	7.75	3.888888888888889
137	27	999	Statewide	31	Specialty canning	27	311422	6.0	2.888888888888889
141	27	999	Statewide	31	Tobacco manufacturing	27	312230	2.0	1.0
145	27	999	Statewide	31	Women's handbag and purse manufacturing	27	316992	2.0	1.0
147	27	999	Statewide	32	Abrasive product manufacturing	27	327910	6.0	3.0
154	27	999	Statewide	32	All other petroleum and coal products manufacturing	27	324199	2.0	1.0
173	27	999	Statewide	32	Explosives manufacturing	27	325920	4.0	2.0
176	27	999	Statewide	32	Glass container manufacturing	27	327213	4.0	1.8
179	27	999	Statewide	32	Gypsum product manufacturing	27	327420	3.25	1.4
187	27	999	Statewide	32	Newsprint mills	27	322122	1.0	1.0
189	27	999	Statewide	32	Other basic inorganic chemical manufacturing	27	325180	8.0	3.5555555555555554
199	27	999	Statewide	32	Petroleum lubricating oil and grease manufacturing	27	324191	10.0	4.555555555555555
200	27	999	Statewide	32	Petroleum refineries	27	324110	5.0	2.4
202	27	999	Statewide	32	Phosphatic fertilizer manufacturing	27	325312	4.0	2.0
203	27	999	Statewide	32	Photographic film, paper, plate, and chemical manufacturing	27	325992	12.75	4.444444444444445
215	27	999	Statewide	32	Pulp mills	27	322110	2.0	1.0
218	27	999	Statewide	32	Rubber and plastics hoses and belting manufacturing	27	326220	6.0	3.0
222	27	999	Statewide	32	Softwood veneer and plywood manufacturing	27	321212	2.0	1.0
225	27	999	Statewide	32	Surface active agent manufacturing	27	325613	2.0	1.0
226	27	999	Statewide	32	Synthetic dye and pigment manufacturing	27	325130	2.0	1.0
228	27	999	Statewide	32	Tire manufacturing (except retreading)	27	326211	2.0	1.0
247	27	999	Statewide	33	Alumina refining and primary aluminum production	27	331313	1.0	1.0
249	27	999	Statewide	33	Aluminum sheet, plate, and foil manufacturing	27	331315	2.0	1.0
250	27	999	Statewide	33	Ammunition (except small arms) manufacturing	27	332993	2.0	1.0
253	27	999	Statewide	33	Automatic environmental control manufacturing for residential, commercial, and appliance use	27	334512	18.6	8.88888888888889
254	27	999	Statewide	33	Automobile manufacturing	27	336111	3.0	1.2
255	27	999	Statewide	33	Ball and roller bearing manufacturing	27	332991	4.0	1.4
257	27	999	Statewide	33	Blank magnetic and optical recording media manufacturing	27	334613	3.75	1.8
260	27	999	Statewide	33	Broom, brush, and mop manufacturing	27	339994	2.0	1.0
263	27	999	Statewide	33	Carbon and graphite product manufacturing	27	335991	3.0	1.4
265	27	999	Statewide	33	Computer storage device manufacturing	27	334112	8.0	3.888888888888889
269	27	999	Statewide	33	Copper rolling, drawing, extruding, and alloying	27	331420	2.0	1.0
