Naics,Establishments,Employees,Payroll
423910,114,1760,84202
424110,3,23,1123
424120,37,320,14736
424450,17,391,17789
423720,81,1173,74366
423730,55,555,41514
423740,6,65,3150
423820,63,716,35602
423830,246,2708,189861
423850,69,878,49023
423920,17,121,4167
423930,67,881,45620
423940,30,1300,61327
423990,114,1018,58896
424130,36,909,75178
424210,161,7805,539112
424310,16,107,5154
424320,31,375,40368
424330,35,361,17773
424340,6,118,5776
424410,20,1884,111428
424420,19,903,65810
424430,9,382,18917
424440,5,82,2846
424470,16,379,11161
424480,25,388,14789
424490,116,3149,134601
424510,6,71,3314
424520,3,8,433
424950,22,198,12119
424590,4,3,51
424610,23,217,10789
424690,92,1021,71557
441110,202,11068,569521
424710,37,587,39155
424720,19,184,13904
424810,11,555,25690
424820,8,39,1449
424910,41,374,15970
424920,21,394,18493
424930,21,241,7437
424940,8,426,23319
424990,105,1764,69149
425110,18,33,1852
425120,378,2457,109558
441120,290,2099,92829
441228,83,945,33580
441320,235,2767,115668
442110,200,3232,127188
443141,68,575,19846
481211,13,145,9589
441210,56,1002,50558
441222,14,113,6104
444110,51,7039,156049
441310,313,3069,89619
444210,23,137,4676
442210,156,1008,44378
442291,13,42,1986
442299,142,1781,28340
443142,209,2548,71779
445210,28,210,4744
445299,80,917,11117
445310,56,485,7708
444120,56,454,18243
444130,128,1183,31400
444190,342,4004,196064
444220,103,1688,42998
446191,103,564,13858
445110,375,22997,544065
447110,680,7423,145745
445120,106,690,13346
445230,7,6,224
445291,28,235,5092
445292,38,311,3244
448140,288,6284,98801
446110,244,3882,136448
446120,144,1373,26280
448190,129,1234,22548
446130,103,712,19872
446199,93,598,29445
447190,66,1570,29697
451120,108,1493,23043
448110,45,409,13421
448120,248,2345,33809
448130,67,660,10323
451211,87,879,13639
448150,68,535,8747
452319,185,2612,41680
448210,179,1541,23545
448310,138,1031,28266
448320,5,15,492
453210,60,531,12358
453220,155,1268,22187
451110,334,4703,91563
453310,103,1125,18183
451130,55,844,10303
453910,74,911,19769
451140,43,409,10081
453920,64,222,7300
453998,180,958,27818
452210,46,3668,65450
452311,83,19633,612962
453110,93,570,8892
454310,33,255,10992
453930,10,37,1313
453991,78,307,7264
454110,940,11657,554705
454210,30,242,8866
454390,1285,3303,140081
481111,15,6755,603410
481212,4,35,1443
481219,8,34,2330
484110,342,2461,110471
484210,51,758,24571
484220,324,3247,183160
484230,165,10534,515734
484121,577,8111,363361
484122,91,3390,196860
485113,4,50,1507
485310,11,49,779
485320,21,190,2826
485410,9,602,21730
485510,4,169,5641
485991,15,226,3903
485999,20,162,2238
486110,7,37,3841
486210,12,540,77739
486910,3,97,10926
487110,10,88,1882
487990,6,6,323
488390,3,3,117
488410,107,472,15254
488490,30,342,7959
492110,111,6292,263640
488119,22,2069,90594
488190,40,324,24685
488210,17,228,13180
488510,151,1652,102662
488991,12,81,1595
511199,5,11,352
492210,50,347,9963
493110,144,10749,446705
493120,12,308,15268
493190,25,231,12478
511110,38,1276,50046
511120,30,165,6843
511130,33,264,21748
511140,12,339,13861
511210,291,17977,2078684
512110,181,513,28711
512131,68,3127,32771
512132,3,37,598
512191,27,5523,130864
512199,5,61,2756
512240,23,80,3728
512230,3,7,110
512250,4,7,486
515111,4,7,437
515112,33,572,30780
515120,15,832,50289
517311,252,8016,526043
522120,5,25,2975
517312,282,3183,148977
522130,450,7614,353181
517410,6,39,2039
517911,25,253,24569
517919,24,723,48889
522292,274,5166,433828
518210,266,8366,652122
519120,4,14,367
