ZIPCODE,Num Industries,Total Establishments,Total Employees,Total Payroll
01001,16,1847,11755,416529
01002,16,2112,9825,306613
01003,4,51,884,10731
01004,2,28,432,6549
01005,12,327,3744,39486
01007,16,848,6809,60350
01008,4,58,884,3513
01009,2,35,662,5647
01010,10,310,2380,24552
01011,2,25,422,1132
01012,3,25,423,1452
01013,15,1259,8966,202253
01020,17,2101,11285,377850
01021,1,11,221,6709
01022,9,211,3049,114108
01026,4,52,634,13381
01027,16,1676,9365,156267
01028,16,2054,11284,352932
01029,3,38,664,7250
01030,14,829,5906,35800
01031,5,56,635,1752
01032,5,74,1065,4708
01033,11,465,3912,32023
01034,5,92,1065,4764
01035,16,1201,8726,177116
01036,11,439,4154,37811
01037,2,48,862,13927
01038,9,205,1970,76697
01039,6,96,1496,11110
01040,18,3363,15764,752128
01041,5,69,1630,42025
01050,6,100,1516,5819
01053,6,83,897,116223
01054,7,131,1487,4910
01056,17,1608,9618,208572
01057,13,519,4354,39396
01059,2,17,442,2207
01060,17,2910,13380,534316
01061,3,44,863,5917
01062,16,731,5930,72472
01063,1,3,1,92605
01066,2,18,212,5173
01068,5,100,1285,4267
01069,16,1010,9630,172110
01070,1,14,211,649
01071,3,60,853,2474
01072,3,56,853,2014
01073,12,460,4385,39515
01074,1,14,431,2438
01075,15,1196,7772,160848
01077,15,841,7772,84915
01079,2,25,422,3067
01080,9,151,2200,14237
01081,4,56,864,2169
01082,13,605,5507,78041
01083,8,114,1298,13302
01084,1,4,1,1612
01085,17,3343,13884,636434
01086,4,42,654,24925
01088,6,93,1557,13207
01089,17,3757,15277,634950
01090,3,49,643,7348
01092,4,33,214,2317
01093,8,101,1298,32582
01095,16,1122,6872,167631
01096,10,175,2222,13211
01098,2,35,432,3847
01101,4,42,665,6998
01102,2,28,454,219395
01103,15,1731,8610,331014
01104,18,1979,12787,940354
01105,16,996,8590,237859
01106,16,1056,7521,131323
01107,11,541,4939,172248
01108,14,968,7551,68894
01109,16,1147,7615,225441
01111,1,9,231,375509
01115,6,149,2249,111168
01118,10,505,4414,45891
01119,12,580,5810,116201
01128,9,156,2484,20294
01129,14,583,5433,56395
01138,1,7,211,556
01144,4,163,2487,100495
01151,13,485,4007,95669
01199,2,13,232,378242
01201,19,5043,16669,1318217
01202,3,60,863,30200
01220,14,576,5109,67335
01222,4,43,634,2139
