ZIPCODE,Num Industries,Total Establishments,Total Employees,Total Payroll
01001,55,632,10136,0
01002,59,758,11680,0
01003,1,7,221,0
01005,8,53,868,0
01007,24,234,3635,0
01008,2,11,212,0
01009,1,3,1,0
01010,10,80,1270,0
01012,1,6,211,0
01013,38,379,6480,0
01020,56,757,10992,0
01022,5,16,5,0
01026,1,6,211,0
01027,51,577,9702,0
01028,56,728,11562,0
01030,22,252,4522,0
01031,2,9,212,0
01033,13,103,1063,0
01034,1,5,1,0
01035,41,347,5104,0
01036,10,131,2360,0
01037,1,3,1,0
01038,7,32,437,0
01039,3,16,213,0
01040,78,1272,20781,0
01041,2,6,2,0
01050,1,3,1,0
01054,5,29,845,0
01056,42,548,9344,0
01057,10,113,2150,0
01060,83,1111,17451,0
01062,25,191,4075,0
01066,1,3,1,0
01068,3,22,633,0
01069,32,243,4543,0
01071,2,14,422,0
01072,1,6,211,0
01073,13,118,2563,0
01075,41,413,7952,0
01077,27,243,4538,0
01080,2,14,432,0
01082,17,141,2618,0
01083,1,6,211,0
01085,80,1265,18860,0
01088,3,10,3,0
01089,91,1475,21881,0
01092,1,3,1,0
01093,1,3,1,0
01095,40,373,6451,0
01096,5,25,635,0
01102,1,4,1,0
01103,40,652,8744,0
01104,67,642,10414,0
01105,33,274,4657,0
01106,38,343,5859,0
01107,15,154,2449,0
01108,29,281,4561,0
01109,35,366,6368,0
01115,4,25,214,0
01118,19,155,3449,0
01119,16,141,2417,0
01128,4,20,245,0
01129,17,130,2721,0
01144,6,43,656,0
01151,13,73,1293,0
01201,101,2096,29394,0
01202,1,7,211,0
01220,18,141,2829,0
01222,1,6,211,0
01223,3,21,423,0
01225,6,38,426,0
01226,10,101,2381,0
01230,54,596,11028,0
01235,4,31,424,0
01236,2,23,422,0
01237,14,98,1945,0
01238,24,325,4616,0
01240,26,251,4558,0
01247,39,357,6290,0
01253,4,23,634,0
01254,2,15,212,0
01255,2,12,422,0
01257,9,80,1499,0
01258,2,10,212,0
01259,2,14,212,0
01262,6,44,646,0
01266,5,33,635,0
01267,23,198,3674,0
01301,64,731,11149,0
01330,2,10,212,0
01331,30,210,3461,0
01337,4,14,4,0
01338,1,3,1,0
01339,4,18,424,0
01342,1,3,1,0
01344,1,4,1,0
01351,1,8,211,0
01354,2,8,2,0
01360,3,9,3,0
01364,11,65,1071,0
01366,1,8,211,0
01370,15,91,1735,0
01373,15,96,1526,0
01375,6,33,446,0
01376,11,58,1101,0
01420,72,1084,16138,0
01430,8,58,858,0
01431,5,46,845,0
01432,28,230,4329,0
01434,6,25,216,0
01436,2,6,2,0
01440,45,530,9359,0
01441,1,4,1,0
01450,23,236,3843,0
01451,16,143,2536,0
01452,3,27,633,0
01453,97,1810,26349,0
01460,42,374,5172,0
01462,26,270,4988,0
01463,26,275,4707,0
01464,12,88,1702,0
01468,6,37,1056,0
01469,16,128,2377,0
01473,15,173,3645,0
01474,1,11,211,0
01475,15,127,2585,0
01501,70,866,15661,0
01503,9,74,1059,0
01504,15,155,2576,0
01505,11,116,2131,0
01506,4,23,424,0
01507,27,288,4518,0
01508,1,12,231,0
01510,30,294,5201,0
01515,3,19,423,0
01516,12,119,1902,0
01518,5,44,1096,0
01519,10,90,1941,0
01520,29,346,5862,0
01522,1,12,211,0
01523,17,89,1487,0
01524,10,90,1311,0
01525,2,6,2,0
01527,36,351,6341,0
01529,3,10,3,0
01532,55,721,10817,0
01534,11,68,1701,0
01535,9,58,849,0
01536,17,133,2327,0
01537,7,37,637,0
01538,1,9,211,0
01540,24,226,4115,0
01541,8,49,1058,0
