Zip,Industries,Establishments,Employees,Payroll
01001,56,476,8973,0
01002,65,617,11088,0
01003,1,6,221,0
01005,5,29,425,0
01007,20,151,2571,0
01008,1,4,1,0
01010,8,48,848,0
01012,1,6,211,0
01013,31,250,4292,0
01020,58,569,9466,0
01022,2,6,2,0
01026,1,6,211,0
01027,50,387,6922,0
01028,59,523,9134,0
01030,20,183,3650,0
01031,1,6,211,0
01033,9,70,849,0
01034,1,3,1,0
01035,31,216,3825,0
01036,11,102,1921,0
01038,5,16,5,0
01039,2,10,212,0
01040,86,1006,17569,0
01041,1,3,1,0
01050,1,3,1,0
01054,1,8,211,0
01056,45,425,8687,0
01057,11,80,1501,0
01060,92,859,15340,0
01062,18,105,1728,0
01066,1,3,1,0
01068,2,11,212,0
01069,23,154,3024,0
01071,2,14,422,0
01073,10,65,1070,0
01075,34,279,5835,0
01077,22,151,2833,0
01080,2,14,432,0
01082,15,105,2406,0
01085,87,990,16788,0
01088,2,6,2,0
01089,104,1149,19212,0
01093,1,3,1,0
01095,31,254,4532,0
01096,4,19,424,0
01102,1,4,1,0
01103,33,506,5696,0
01104,55,458,7582,0
01105,30,207,3502,0
01106,29,237,3930,0
01107,12,120,1995,0
01108,27,194,3238,0
01109,35,277,4828,0
01115,4,24,214,0
01118,15,98,1955,0
01119,15,112,2216,0
01128,2,12,243,0
01129,14,78,1367,0
01144,6,36,656,0
01151,8,34,218,0
01201,124,1675,24848,0
01202,1,3,1,0
01220,15,91,1085,0
01222,1,6,211,0
01223,3,21,423,0
01225,5,25,425,0
01226,9,62,1300,0
01230,54,440,8617,0
01235,3,20,213,0
01236,2,20,422,0
01237,10,64,1521,0
01238,27,253,4859,0
01240,23,183,3505,0
01247,36,251,5017,0
01253,1,6,211,0
01254,1,10,211,0
01255,1,6,211,0
01257,10,59,1060,0
01258,2,6,2,0
01259,1,11,211,0
01262,4,26,214,0
01266,3,17,423,0
01267,17,142,2797,0
01301,66,575,10270,0
01330,1,6,211,0
01331,20,142,2821,0
01337,1,3,1,0
01339,2,9,212,0
01342,1,3,1,0
01351,1,6,211,0
01354,2,7,2,0
01360,1,3,1,0
01364,8,42,858,0
01366,1,8,211,0
01370,11,64,1311,0
01373,13,61,643,0
01375,5,22,215,0
01376,8,38,678,0
01420,76,823,14600,0
01430,4,30,424,0
01431,4,31,634,0
01432,20,136,2350,0
01434,3,10,3,0
01436,1,3,1,0
01440,44,374,6346,0
01441,1,4,1,0
01450,22,172,3182,0
01451,15,102,2115,0
01452,3,19,423,0
01453,123,1499,25822,0
01460,36,252,3856,0
01462,23,177,3275,0
01463,25,192,2965,0
01464,8,44,1068,0
01468,4,26,844,0
01469,11,75,1322,0
01473,18,125,2998,0
01474,1,9,211,0
01475,13,80,1523,0
01501,78,614,11698,0
01503,6,46,846,0
01504,16,99,1486,0
01505,8,70,1268,0
01506,4,22,424,0
01507,27,212,3847,0
01508,1,9,231,0
01510,29,200,3439,0
01515,2,6,2,0
01516,10,67,1060,0
01518,4,25,455,0
01519,8,58,1068,0
01520,29,246,5200,0
01522,1,9,211,0
01523,10,49,850,0
01524,9,60,1310,0
01525,2,6,2,0
01527,25,206,3919,0
