ZIPCODE,Num Industries,Total Establishments,Total Employees,Total Payroll
01001,57,516,9195,0
01002,63,647,9944,0
01003,1,6,221,0
01005,5,39,655,0
01007,21,175,2792,0
01008,1,5,1,0
01010,8,52,638,0
01012,1,6,211,0
01013,33,272,3874,0
01020,58,615,9434,0
01022,4,12,4,0
01026,1,6,211,0
01027,51,432,7092,0
01028,59,600,11074,0
01030,18,193,3438,0
01031,2,9,212,0
01033,9,74,849,0
01034,1,3,1,0
01035,32,255,3985,0
01036,10,108,2150,0
01038,6,19,6,0
01039,2,13,212,0
01040,83,1062,16885,0
01041,2,6,2,0
01050,1,3,1,0
01054,4,23,634,0
01056,44,458,8896,0
01057,12,95,1712,0
01060,89,914,14585,0
01062,18,132,2598,0
01066,1,3,1,0
01068,3,17,423,0
01069,25,185,3686,0
01071,2,14,422,0
01073,11,84,1721,0
01075,33,309,5824,0
01077,22,176,3473,0
01080,2,14,432,0
01082,15,117,2406,0
01083,1,6,211,0
01085,84,1035,15203,0
01088,2,7,2,0
01089,108,1243,19384,0
01092,1,3,1,0
01093,1,3,1,0
01095,31,281,4952,0
01096,4,19,424,0
01102,1,4,1,0
01103,39,564,6793,0
01104,56,502,8033,0
01105,30,225,3743,0
01106,29,272,4570,0
01107,14,129,1997,0
01108,26,226,4348,0
01109,34,295,5047,0
01115,4,25,214,0
01118,15,112,2375,0
01119,15,126,2206,0
01128,2,14,243,0
01129,14,104,2488,0
01144,6,38,656,0
01151,7,41,657,0
01201,121,1787,24426,0
01202,1,7,211,0
01220,14,104,1755,0
01222,1,6,211,0
01223,3,21,423,0
01225,6,30,426,0
01226,8,74,1729,0
01230,53,477,9056,0
01235,3,24,213,0
01236,2,23,422,0
01237,10,72,1521,0
01238,26,268,4858,0
01240,22,197,3284,0
01247,36,279,4567,0
01253,2,9,212,0
01254,2,13,212,0
01255,2,12,422,0
01257,9,67,1279,0
01258,2,6,2,0
01259,1,11,211,0
01262,4,35,644,0
01266,4,21,424,0
01267,18,165,3029,0
01301,66,607,9169,0
01330,2,10,212,0
01331,20,151,2611,0
01337,1,5,1,0
01338,1,3,1,0
01339,3,15,423,0
01342,1,3,1,0
01344,1,4,1,0
01351,1,6,211,0
01354,2,8,2,0
01360,2,6,2,0
01364,8,48,1068,0
01366,1,8,211,0
01370,11,73,1521,0
01373,13,79,1314,0
01375,4,25,444,0
01376,9,46,889,0
01420,77,888,14121,0
01430,5,39,425,0
01431,5,36,635,0
01432,21,172,3472,0
01434,5,19,5,0
01436,2,6,2,0
01440,43,405,6086,0
01441,1,4,1,0
01450,19,187,3419,0
01451,15,115,2115,0
01452,3,19,423,0
01453,117,1593,25658,0
01460,34,280,3854,0
01462,24,213,4356,0
01463,24,213,3635,0
01464,7,53,1067,0
01468,5,32,1055,0
01469,12,97,1743,0
01473,19,145,3439,0
01474,1,11,211,0
01475,12,101,2372,0
01501,73,663,12122,0
01503,7,56,847,0
01504,15,118,2366,0
01505,10,89,1710,0
01506,4,23,424,0
01507,27,237,4508,0
01508,1,12,231,0
01510,29,227,3700,0
01515,2,16,422,0
01516,10,83,1480,0
01518,3,33,884,0
01519,9,72,1520,0
01520,28,276,5431,0
01522,1,9,211,0
01523,11,53,851,0
01524,8,65,1309,0
01525,2,6,2,0
01527,28,244,4142,0
01529,3,9,3,0
01532,56,589,8867,0
01534,4,31,634,0
01535,8,48,848,0
01536,12,86,1272,0
01537,4,23,634,0
01538,1,9,211,0
01540,20,171,3261,0
01541,7,37,847,0
01542,3,11,3,0
01543,10,83,1700,0
01545,91,1107,17088,0
01550,28,287,4390,0
01560,4,26,634,0
01562,20,171,3471,0
01564,20,154,2570,0
01566,26,211,4359,0
01568,11,108,1711,0
01569,23,230,4734,0
01570,44,360,4745,0
01571,15,127,2156,0
01581,107,1271,18030,0
01583,26,177,3267,0
01585,5,43,1086,0
01588,24,187,4105,0
01590,16,132,2576,0
01602,31,368,6442,0
01603,50,429,6922,0
01604,70,917,14670,0
01605,64,667,10413,0
01606,50,421,6481,0
01607,16,84,1086,0
01608,50,646,7995,0
01609,56,677,8929,0
01610,38,330,4581,0
01611,1,3,1,0
01612,6,35,656,0
01701,122,1795,26822,0
01702,89,1276,16938,0
01719,13,88,1063,0
01720,79,906,13653,0
01721,38,478,7991,0
01730,58,612,9259,0
01731,2,20,422,0
01740,11,94,1711,0
01741,8,76,1278,0
01742,84,1090,16583,0
01746,38,357,5368,0
01747,19,104,1489,0
01748,44,508,7566,0
01749,52,551,8296,0
01752,148,2213,33713,0
01754,27,251,4337,0
01756,9,95,1940,0
01757,92,1182,16195,0
01760,125,1971,30701,0
01770,10,70,1490,0
01772,34,320,5278,0
01773,16,104,1696,0
01775,11,99,1711,0
01776,48,652,9290,0
01778,38,391,6459,0
01801,190,3174,43525,0
01803,123,2339,37111,0
01810,96,1410,20922,0
01821,69,925,13419,0
01824,80,1092,15612,0
01826,56,774,11010,0
01827,5,40,845,0
01830,43,623,10080,0
01831,1,6,211,0
01832,33,275,4577,0
01833,21,161,3001,0
01834,11,102,2341,0
01835,27,228,4108,0
01840,37,330,6591,0
01841,42,503,7784,0
01843,53,536,6576,0
01844,85,1269,16184,0
01845,80,1223,17323,0
01850,13,92,1744,0
01851,54,619,9811,0
01852,80,1002,13672,0
01854,30,322,5191,0
01860,7,44,1057,0
01862,45,350,5488,0
01863,21,174,3315,0
01864,52,616,10019,0
01867,52,645,10016,0
01876,74,934,14273,0
01879,32,305,5445,0
01880,88,1217,17810,0
01886,63,856,13030,0
01887,97,1051,15119,0
01890,50,717,11054,0
01901,28,281,3740,0
01902,47,622,9039,0
01904,35,366,5586,0
01905,39,480,7563,0
01906,83,1122,17866,0
01907,30,366,5623,0
